# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.114960  2.339264 
0.115443  2.346451 
0.115925  2.353646 
0.116408  2.360848 
0.116890  2.368052 
0.117373  2.375256 
0.117856  2.382454 
0.118338  2.389646 
0.118821  2.396826 
0.119303  2.403992 
0.119786  2.411140 
0.120269  2.414903 
0.120751  2.402814 
0.121234  2.390689 
0.121717  2.378528 
0.122199  2.366331 
0.122682  2.354100 
0.123164  2.341834 
0.123647  2.329535 
0.124130  2.317201 
0.124612  2.304835 
0.125095  2.292436 
0.125577  2.280005 
0.126060  2.267543 
0.126543  2.255049 
0.127025  2.242525 
0.127508  2.229970 
0.127990  2.217386 
0.128473  2.204772 
0.128956  2.192130 
0.129438  2.179460 
0.129921  2.166762 
0.130404  2.154036 
0.130886  2.141284 
0.131369  2.128505 
0.131851  2.115703 

0.131851  2.115703 
0.132817  2.128632 
0.133782  2.141782 
0.134747  2.155148 
0.135712  2.168725 
0.136677  2.182507 
0.137643  2.196488 
0.138608  2.210663 
0.139573  2.225026 
0.140538  2.239570 
0.141504  2.254289 
0.142469  2.269176 
0.143434  2.284226 
0.144399  2.299430 
0.145364  2.314784 
0.146330  2.330280 
0.147295  2.345910 
0.148260  2.361668 
0.149225  2.377547 
0.150190  2.393540 
0.151156  2.409639 
0.152121  2.425836 
0.153086  2.442126 
0.154051  2.458500 
0.155017  2.474951 
0.155982  2.491471 
0.156947  2.508054 
0.157912  2.524691 
0.158877  2.541376 
0.159843  2.558100 
0.160808  2.574857 
0.161773  2.591638 
0.162738  2.608437 
0.163704  2.620990 
0.164669  2.588641 
0.165634  2.556008 
0.166599  2.523096 
0.167564  2.489907 
0.168530  2.456445 
0.169495  2.422713 
0.170460  2.388715 
0.171425  2.354452 
0.172391  2.319930 
0.173356  2.285150 
0.174321  2.250117 
0.175286  2.214833 
0.176251  2.179301 
0.177216  2.143526 
0.178182  2.107510 
0.179147  2.071257 
0.180112  2.034770 
0.181077  1.998052 
0.182043  1.961107 
0.183008  1.923938 
0.183973  1.886550 
0.184938  1.848944 
0.185903  1.811126 
0.186869  1.773098 
0.187834  1.734864 
0.188799  1.696428 
0.189764  1.657794 
0.190730  1.618966 
0.191695  1.579947 
0.192660  1.540742 
0.193625  1.501354 
0.194590  1.461787 
0.195556  1.422046 
0.196521  1.382135 
0.197486  1.342057 
0.198451  1.301818 
0.199417  1.261421 
0.200382  1.220872 
0.201347  1.180174 
0.202312  1.139331 
0.203277  1.098349 
0.204243  1.057233 
0.205208  1.015986 
0.206173  0.974614 
0.207138  0.933121 
0.208103  0.891512 
0.209069  0.849792 
0.210034  0.807966 
0.210999  0.766039 
0.211964  0.724016 
0.212930  0.681903 
0.213895  0.639703 
0.214860  0.597423 
0.215825  0.555067 
0.216790  0.512642 
0.217756  0.470151 
0.218721  0.427600 
0.219686  0.384996 
0.220651  0.342342 
0.221617  0.299645 
0.222582  0.256910 
0.223547  0.214141 
0.224512  0.171346 
0.225477  0.128529 
0.226443  0.085695 
0.227408  0.042850 
0.228373  0.000000 


0.000000  2.873061 
0.000836  2.872982 
0.001672  2.872747 
0.002508  2.872354 
0.003344  2.871804 
0.004180  2.871097 
0.005015  2.870232 
0.005851  2.869210 
0.006687  2.868029 
0.007523  2.866691 
0.008359  2.865194 
0.009195  2.863538 
0.010031  2.861723 
0.010867  2.859748 
0.011703  2.857613 
0.012539  2.855317 
0.013374  2.852861 
0.014210  2.850243 
0.015046  2.847463 
0.015882  2.844520 
0.016718  2.841415 
0.017554  2.838145 
0.018390  2.834711 
0.019226  2.831113 
0.020062  2.827348 
0.020898  2.823418 
