# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.105506  2.504887 
0.106012  2.510859 
0.106519  2.516955 
0.107026  2.523172 
0.107533  2.529506 
0.108039  2.535955 
0.108546  2.542514 
0.109053  2.549180 
0.109560  2.555949 
0.110066  2.562818 
0.110573  2.569783 
0.111080  2.576841 
0.111587  2.583987 
0.112093  2.591217 
0.112600  2.598529 
0.113107  2.605917 
0.113614  2.613379 
0.114120  2.620910 
0.114627  2.628506 
0.115134  2.636164 
0.115641  2.643879 
0.116147  2.651647 
0.116654  2.659464 
0.117161  2.667327 
0.117667  2.675231 
0.118174  2.683172 
0.118681  2.691146 
0.119188  2.699149 
0.119694  2.707177 
0.120201  2.715226 
0.120708  2.723291 
0.121215  2.731369 
0.121721  2.739456 
0.122228  2.747547 
0.122735  2.755638 
0.123242  2.763726 
0.123748  2.771796 
0.124255  2.757598 
0.124762  2.743347 
0.125269  2.729045 
0.125775  2.714691 
0.126282  2.700288 
0.126789  2.685835 
0.127296  2.671332 
0.127802  2.656781 
0.128309  2.642181 
0.128816  2.627535 
0.129323  2.612841 
0.129829  2.598100 
0.130336  2.583314 
0.130843  2.568483 
0.131350  2.553607 
0.131856  2.538687 
0.132363  2.523724 
0.132870  2.508717 
0.133376  2.493669 
0.133883  2.478578 
0.134390  2.463447 
0.134897  2.448275 
0.135403  2.433063 
0.135910  2.417812 
0.136417  2.402523 
0.136924  2.387195 
0.137430  2.371830 
0.137937  2.356428 
0.138444  2.340990 

0.138444  2.340990 
0.139457  2.356591 
0.140471  2.372477 
0.141484  2.388643 
0.142498  2.405083 
0.143511  2.421790 
0.144525  2.438758 
0.145538  2.455981 
0.146552  2.473451 
0.147565  2.491162 
0.148579  2.509106 
0.149592  2.527275 
0.150606  2.545663 
0.151619  2.564261 
0.152633  2.583062 
0.153646  2.602057 
0.154660  2.621240 
0.155673  2.640602 
0.156687  2.660134 
0.157700  2.679829 
0.158713  2.699678 
0.159727  2.719673 
0.160740  2.739806 
0.161754  2.760068 
0.162767  2.780450 
0.163781  2.800944 
0.164794  2.821542 
0.165808  2.842235 
0.166821  2.863014 
0.167835  2.883871 
0.168848  2.904796 
0.169862  2.925783 
0.170875  2.946821 
0.171889  2.967902 
0.172902  2.989017 
0.173916  2.989567 
0.174929  2.953552 
0.175943  2.917091 
0.176956  2.880189 
0.177970  2.842854 
0.178983  2.805091 
0.179997  2.766906 
0.181010  2.728306 
0.182024  2.689297 
0.183037  2.649885 
0.184050  2.610077 
0.185064  2.569878 
0.186077  2.529294 
0.187091  2.488332 
0.188104  2.446999 
0.189118  2.405299 
0.190131  2.363240 
0.191145  2.320827 
0.192158  2.278067 
0.193172  2.234966 
0.194185  2.191529 
0.195199  2.147765 
0.196212  2.103678 
0.197226  2.059276 
0.198239  2.014563 
0.199253  1.969548 
0.200266  1.924236 
0.201280  1.878634 
0.202293  1.832749 
0.203307  1.786586 
0.204320  1.740153 
0.205334  1.693457 
0.206347  1.646503 
0.207360  1.599299 
0.208374  1.551852 
0.209387  1.504169 
0.210401  1.456255 
0.211414  1.408120 
0.212428  1.359769 
0.213441  1.311210 
0.214455  1.262449 
0.215468  1.213494 
0.216482  1.164353 
0.217495  1.115033 
0.218509  1.065540 
0.219522  1.015883 
0.220536  0.966069 
0.221549  0.916105 
0.222563  0.865999 
0.223576  0.815759 
0.224590  0.765392 
0.225603  0.714906 
0.226616  0.664308 
0.227630  0.613608 
0.228643  0.562811 
0.229657  0.511927 
0.230671  0.460963 
0.231684  0.409926 
0.232697  0.358826 
0.233711  0.307670 
0.234724  0.256465 
0.235738  0.205220 
0.236751  0.153943 
0.237765  0.102642 
0.238778  0.051325 
0.239792  0.000000 


0.000000  3.193809 
0.000878  3.193747 
0.001755  3.193561 
0.002633  3.193252 
0.003511  3.192818 
0.004389  3.192260 
0.005266  3.191578 
0.006144  3.190769 
0.007022  3.189835 
0.007899  3.188775 
0.008777  3.187586 
0.009655  3.186270 
0.010532  3.184824 
0.011410  3.183248 
0.012288  3.181541 
